Real Eigenvalue,Numerical Eigenvalues
0,0.000000000056328 
2,2.000002341519236 2.000002341887560 2.000010968322045 
6,6.000032528380763 6.000032528380763 6.000062692041201 6.000091817980315 6.000091818239079 
12,12.000169159901020 12.000181121007314 12.000402418422498 12.000402418810443 12.000526221330565 12.000526221432475 12.000714928365730 
20,20.000639807926287 20.000639807974324 20.001210428426720 20.001433468876947 20.002056244188687 20.002056244292081 20.002704995949451 20.002777886509005 20.002777886557869 
30,30.001877620903674 30.001877621015009 30.003586778412853 30.003586778476887 30.005578378656203 30.006082304527645 30.007563415257898 30.007563415765478 30.008657097396540 30.008657097512344 30.009729163517214 
42,42.004662871127671 42.004810238902834 42.008368744682507 42.008368744698984 42.013696537902511 42.013696537912139 42.017739662826848 42.017952617632425 42.020752017355640 42.020752017436173 42.023579803956650 42.024839851456321 42.024839851496878 
56,56.010586922359103 56.010586922366763 56.017067145039753 56.017951741252936 56.028238581788216 56.028238581811394 56.036453698529435 56.036453698538025 56.042020512398494 56.045338311373584 56.052890613739393 56.052890613938132 56.052994659333756 56.052994659717477 56.059005295602844 
72,72.021530613213429 72.021530613320962 72.033600160162919 72.033600160474734 72.049433329404224 72.056831356285556 72.067657454530945 72.067657454798535 72.081144161392999 72.081144161488595 72.097808222045401 72.103487379756231 72.104839835209091 72.104839835341664 72.111461111244680 72.119887803737939 72.119887803853075 
90,90.039965540478448 90.041239779828501 90.060453162868995 90.060453162932490 90.091639107823255 90.091639107846035 90.111690306102787 90.123091363509232 90.143545295175400 90.143545295472819 90.172290799365697 90.176062119167668 90.176062119655612 90.195282939188914 90.207465168051755 90.207465168124543 90.218789407242554 90.218789407607261 90.234290578099674 
